VendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,extra,tip_amount,improvement_surcharge,total_amount
6,2024-01-08T00:01:40.000,2024-01-08T01:01:52.000,,11.41,53.46,0.0,0.0,0.3,54.26
6,2024-01-08T05:01:40.000,2024-01-08T06:01:35.000,,20.49,55.8,0.0,0.0,0.3,56.6
6,2024-01-08T06:01:08.000,2024-01-08T06:01:14.000,,5.19,25.83,0.0,0.0,0.3,26.63
6,2024-01-08T06:01:51.000,2024-01-08T07:01:20.000,,16.38,53.01,0.0,0.0,0.3,53.81
6,2024-01-08T08:01:59.000,2024-01-08T09:01:48.000,,11.93,49.13,0.0,0.0,0.3,49.93
6,2024-01-08T09:01:16.000,2024-01-08T10:01:03.000,,11.16,66.0,0.0,0.0,0.3,66.8
6,2024-01-08T09:01:59.000,2024-01-08T09:01:00.000,,24.99,72.34,0.5,0.0,0.3,73.14
6,2024-01-08T11:01:29.000,2024-01-08T12:01:04.000,,20.58,53.53,0.0,0.0,0.3,54.33
6,2024-01-08T12:01:30.000,2024-01-08T12:01:18.000,,1.61,15.2,0.0,0.0,0.3,16.0
6,2024-01-08T12:01:36.000,2024-01-08T13:01:21.000,,5.08,28.07,0.0,0.0,0.3,28.87
6,2024-01-08T13:01:07.000,2024-01-08T13:01:21.000,,0.61,33.2,0.0,0.0,0.3,34.0
6,2024-01-08T14:01:54.000,2024-01-08T15:01:42.000,,12.39,58.93,0.0,0.0,0.3,59.73
6,2024-01-08T16:01:10.000,2024-01-08T17:01:39.000,,19.01,77.71,0.0,0.0,0.3,78.51
6,2024-01-08T16:01:53.000,2024-01-08T17:01:11.000,,12.65,71.95,0.0,0.0,0.3,72.75
6,2024-01-08T18:01:11.000,2024-01-08T19:01:43.000,,2.43,24.2,0.0,0.0,0.3,25.0
6,2024-01-08T18:01:23.000,2024-01-08T18:01:14.000,,8.53,53.3,0.0,0.0,0.3,54.1
6,2024-01-08T20:01:33.000,2024-01-08T21:01:24.000,,6.57,18.95,0.0,0.0,0.3,19.75
6,2024-01-08T20:01:07.000,2024-01-08T20:01:05.000,,5.16,31.2,0.0,0.0,0.3,32.0
6,2024-01-08T21:01:50.000,2024-01-08T21:01:26.000,,6.06,30.0,0.0,0.0,0.0,30.0
6,2024-01-08T23:01:27.000,2024-01-08T23:01:25.000,,2.8,15.2,0.0,0.0,0.3,16.0
6,2024-01-09T00:01:48.000,2024-01-09T01:01:31.000,,17.35,42.98,0.0,0.0,0.3,43.78
6,2024-01-09T06:01:45.000,2024-01-09T06:01:51.000,,8.9,30.45,0.0,0.0,0.3,31.25
6,2024-01-09T07:01:20.000,2024-01-09T08:01:18.000,,18.16,63.91,0.0,0.0,0.3,64.71
6,2024-01-09T07:01:14.000,2024-01-09T08:01:40.000,,6.47,29.43,0.0,0.0,0.3,30.23
6,2024-01-09T07:01:42.000,2024-01-09T08:01:02.000,,14.39,50.8,0.0,0.0,0.3,51.6
6,2024-01-09T08:01:00.000,2024-01-09T09:01:47.000,,10.18,52.07,0.0,0.0,0.3,52.87
6,2024-01-09T08:01:57.000,2024-01-09T09:01:13.000,,12.6,38.9,0.0,0.0,0.3,39.7
6,2024-01-09T09:01:22.000,2024-01-09T09:01:54.000,,12.14,42.23,0.5,0.0,0.3,43.03
6,2024-01-09T09:01:17.000,2024-01-09T09:01:58.000,,20.82,53.86,0.0,0.0,0.3,54.66
6,2024-01-09T10:01:16.000,2024-01-09T10:01:14.000,,4.91,25.44,0.0,0.0,0.3,26.24
6,2024-01-09T10:01:33.000,2024-01-09T10:01:48.000,,5.79,45.32,0.0,0.0,0.3,46.12
6,2024-01-09T11:01:49.000,2024-01-09T11:01:19.000,,9.35,31.2,0.0,0.0,0.3,32.0
6,2024-01-09T12:01:03.000,2024-01-09T12:01:04.000,,6.06,33.05,0.0,0.0,0.3,33.85
6,2024-01-09T12:01:54.000,2024-01-09T12:01:01.000,,14.8,51.2,0.0,0.0,0.3,52.0
6,2024-01-09T12:01:14.000,2024-01-09T12:01:17.000,,0.78,35.2,0.0,0.0,0.3,36.0
6,2024-01-09T13:01:28.000,2024-01-09T14:01:00.000,,13.59,67.89,0.0,0.0,0.3,68.69
6,2024-01-09T14:01:39.000,2024-01-09T15:01:07.000,,15.55,76.71,0.0,0.0,0.3,77.51
6,2024-01-09T15:01:07.000,2024-01-09T16:01:26.000,,10.56,51.4,0.0,0.0,0.3,52.2
6,2024-01-09T16:01:09.000,2024-01-09T17:01:46.000,,13.57,87.99,0.0,0.0,0.3,88.79
6,2024-01-09T16:01:33.000,2024-01-09T17:01:09.000,,8.57,26.62,0.0,0.0,0.3,27.42
6,2024-01-09T16:01:45.000,2024-01-09T17:01:23.000,,15.23,74.18,0.0,0.0,0.3,74.98
6,2024-01-09T16:01:40.000,2024-01-09T18:01:26.000,,13.02,65.66,0.0,0.0,0.3,66.46
6,2024-01-09T16:01:51.000,2024-01-09T17:01:55.000,,6.55,53.2,0.0,0.0,0.3,54.0
6,2024-01-09T16:01:01.000,2024-01-09T17:01:31.000,,9.79,59.91,0.0,0.0,0.3,60.71
6,2024-01-09T16:01:08.000,2024-01-09T18:01:12.000,,14.23,80.2,0.0,0.0,0.3,81.0
6,2024-01-09T17:01:09.000,2024-01-09T18:01:54.000,,8.66,79.2,0.0,0.0,0.3,80.0
6,2024-01-09T17:01:05.000,2024-01-09T18:01:24.000,,14.76,48.68,0.0,0.0,0.3,49.48
6,2024-01-09T18:01:48.000,2024-01-09T19:01:11.000,,14.15,77.2,0.0,0.0,0.3,78.0
6,2024-01-10T06:01:19.000,2024-01-10T07:01:36.000,,13.72,46.26,0.0,0.0,0.3,47.06
6,2024-01-10T07:01:59.000,2024-01-10T07:01:08.000,,7.24,33.52,0.5,0.0,0.3,34.32
6,2024-01-10T08:01:19.000,2024-01-10T08:01:01.000,,1.57,17.2,0.0,0.0,0.3,18.0
6,2024-01-10T08:01:37.000,2024-01-10T09:01:40.000,,8.18,51.2,0.5,0.0,0.3,52.0
6,2024-01-10T09:01:19.000,2024-01-10T09:01:54.000,,1.59,17.2,0.5,0.0,0.3,18.0
6,2024-01-10T11:01:41.000,2024-01-10T12:01:01.000,,1.27,15.2,0.5,0.0,0.3,16.0
6,2024-01-10T12:01:06.000,2024-01-10T12:01:40.000,,4.63,21.43,0.0,0.0,0.3,22.23
6,2024-01-10T14:01:26.000,2024-01-10T15:01:02.000,,10.34,63.27,0.0,0.0,0.3,64.07
6,2024-01-10T16:01:12.000,2024-01-10T17:01:20.000,,13.66,61.16,0.0,0.0,0.3,61.96
6,2024-01-10T17:01:44.000,2024-01-10T18:01:53.000,,25.01,72.97,0.0,0.0,0.3,73.77
6,2024-01-10T17:01:52.000,2024-01-10T18:01:13.000,,10.59,55.04,0.0,0.0,0.3,55.84
6,2024-01-10T18:01:39.000,2024-01-10T18:01:19.000,,7.7,24.56,0.0,0.0,0.3,25.36
6,2024-01-10T21:01:17.000,2024-01-10T21:01:17.000,,7.79,25.89,0.0,0.0,0.3,26.69
6,2024-01-10T22:01:19.000,2024-01-10T22:01:29.000,,1.61,15.2,0.5,0.0,0.3,16.0
6,2024-01-11T05:01:52.000,2024-01-11T05:01:51.000,,2.59,15.2,0.5,0.0,0.3,16.0
6,2024-01-11T05:01:38.000,2024-01-11T05:01:45.000,,13.89,50.44,0.0,0.0,0.3,51.24
6,2024-01-11T07:01:36.000,2024-01-11T08:01:49.000,,12.29,43.63,0.0,0.0,0.3,44.43
6,2024-01-11T08:01:22.000,2024-01-11T08:01:26.000,,0.67,33.2,0.0,0.0,0.3,34.0
6,2024-01-11T08:01:45.000,2024-01-11T09:01:00.000,,6.31,31.46,0.0,0.0,0.3,32.26
6,2024-01-11T09:01:59.000,2024-01-11T09:01:22.000,,1.31,24.2,0.0,0.0,0.3,25.0
6,2024-01-11T09:01:28.000,2024-01-11T10:01:11.000,,19.29,56.51,0.5,0.0,0.3,57.31
6,2024-01-11T09:01:36.000,2024-01-11T09:01:54.000,,14.33,52.2,0.5,0.0,0.3,53.0
6,2024-01-11T12:01:40.000,2024-01-11T13:01:20.000,,14.46,44.3,0.0,0.0,0.3,45.1
